gt_label,start_frame,end_frame,length
129,4,18,15
257,4,4,1
384,4,4,1
512,7,7,1
609,8,24,17
448,18,34,17
66,18,34,17
130,19,34,16
193,19,34,16
564,24,44,21
610,25,39,15
625,25,63,39
131,35,56,22
162,35,58,24
194,35,59,25
225,35,60,26
290,35,58,24
35,35,35,1
386,35,58,24
4,35,35,1
449,35,54,20
480,35,59,25
67,35,58,24
703,35,35,1
718,35,35,1
98,35,59,25
541,45,69,25
565,45,68,24
590,45,70,26
147,58,84,27
163,59,86,28
178,59,86,28
291,59,85,27
306,59,61,3
387,59,86,28
402,59,84,26
418,59,79,21
450,59,60,2
465,59,60,2
68,59,85,27
83,59,85,27
114,60,71,12
195,60,84,25
210,60,85,26
481,60,63,4
496,60,85,26
51,60,87,28
99,60,88,29
226,61,87,27
241,61,85,25
611,61,68,8
626,64,73,10
633,64,69,6
711,66,105,40
566,69,98,30
579,69,97,29
542,70,77,8
557,70,96,27
591,71,100,30
602,71,101,31
148,85,85,1
155,85,106,22
196,85,91,7
196,124,125,2
203,85,111,27
403,85,105,21
410,85,86,2
657,85,92,8
664,85,85,1
211,86,110,25
218,86,114,29
292,86,98,13
292,100,100,1
299,86,91,6
307,86,86,1
314,86,86,1
339,86,98,13
346,86,86,1
441,86,86,1
497,86,90,5
504,86,92,7
6,86,86,1
69,86,88,3
76,86,102,17
84,86,86,1
91,86,91,6
13,87,88,2
140,87,88,2
164,87,96,10
171,87,112,26
179,87,113,27
186,87,110,24
268,87,88,2
388,87,106,20
388,121,121,1
395,87,110,24
44,87,88,2
458,87,88,2
133,88,88,1
227,88,104,17
234,88,89,2
249,88,110,23
37,88,106,19
451,88,113,26
52,88,88,1
59,88,97,10
59,99,99,1
100,89,95,7
107,89,98,10
473,90,90,1
580,98,128,31
587,98,118,21
567,99,104,6
567,107,107,1
574,99,119,21
720,100,101,2
720,124,126,3
720,128,128,1
720,140,194,55
538,101,105,5
538,133,133,1
543,101,101,1
592,101,108,8
592,133,137,5
597,101,119,19
603,102,132,31
603,140,142,3
606,102,102,1
606,123,126,4
606,140,145,6
712,106,153,48
715,106,146,41
684,112,112,1
684,140,160,21
651,113,113,1
705,114,114,1
705,117,117,1
705,140,154,15
652,118,118,1
652,140,194,55
677,118,118,1
677,140,155,16
350,119,126,8
350,140,168,29
430,119,123,5
430,140,162,23
126,121,121,1
126,140,158,19
14,121,121,1
14,140,165,26
48,121,123,3
48,132,134,3
48,139,163,25
108,122,123,2
108,127,134,8
108,140,162,23
111,122,123,2
111,140,162,23
123,122,122,1
123,140,164,25
648,122,122,1
648,124,124,1
648,140,151,12
88,122,123,2
88,126,126,1
88,140,165,26
168,123,123,1
168,140,166,27
92,123,123,1
92,140,158,19
708,125,125,1
708,127,129,3
708,140,147,8
719,125,194,70
280,126,126,1
280,140,163,24
308,126,126,1
308,140,170,31
315,126,126,1
315,140,173,34
470,126,127,2
470,140,165,26
696,126,127,2
696,140,171,32
311,128,129,2
311,140,169,30
38,129,129,1
38,140,171,32
581,129,168,40
584,129,129,1
584,140,174,35
571,130,133,4
571,140,169,30
692,130,180,51
568,131,131,1
568,140,167,28
535,133,133,1
535,140,174,35
101,134,135,2
101,140,177,38
661,134,134,1
661,140,185,46
539,135,135,1
539,140,194,55
540,135,135,1
540,140,194,55
293,136,138,3
293,140,171,32
554,137,137,1
554,140,191,52
593,138,181,44
10,140,168,29
104,140,175,36
116,140,170,31
119,140,164,25
134,140,170,31
137,140,173,34
141,140,155,16
144,140,161,22
149,140,162,23
152,140,161,22
156,140,159,20
159,140,160,21
165,140,170,31
17,140,162,23
172,140,160,21
175,140,158,19
180,140,171,32
183,140,167,28
187,140,162,23
190,140,160,21
197,140,178,39
200,140,179,40
204,140,162,23
207,140,162,23
212,140,167,28
215,140,165,26
219,140,171,32
22,140,169,30
222,140,167,28
228,140,179,40
231,140,174,35
235,140,182,43
238,140,185,46
243,140,176,37
246,140,170,31
25,140,169,30
250,140,176,37
253,140,175,36
262,140,166,27
265,140,166,27
269,140,172,33
272,140,165,26
277,140,164,25
284,140,162,23
287,140,155,16
29,140,166,27
296,140,174,35
300,140,171,32
303,140,165,26
318,140,173,34
32,140,163,24
325,140,165,26
328,140,164,25
332,140,166,27
335,140,165,26
340,140,168,29
343,140,168,29
347,140,158,19
356,140,178,39
359,140,175,36
363,140,171,32
366,140,171,32
371,140,170,31
374,140,170,31
378,140,167,28
381,140,168,29
389,140,173,34
392,140,167,28
396,140,167,28
399,140,160,21
404,140,167,28
407,140,165,26
41,140,168,29
411,140,166,27
414,140,161,22
420,140,165,26
423,140,171,32
427,140,166,27
435,140,169,30
438,140,168,29
442,140,176,37
445,140,176,37
45,140,168,29
452,140,163,24
455,140,166,27
459,140,164,25
462,140,162,23
467,140,169,30
474,140,164,25
477,140,165,26
483,140,173,34
486,140,174,35
490,140,169,30
493,140,173,34
498,140,165,26
501,140,165,26
505,140,165,26
508,140,166,27
517,140,163,24
520,140,169,30
524,140,166,27
527,140,191,52
53,140,177,38
532,140,164,25
544,140,178,39
547,140,189,50
551,140,180,41
558,140,144,5
56,140,169,30
561,140,145,6
575,140,175,36
578,140,194,55
588,140,194,55
589,140,194,55
596,140,194,55
598,140,182,43
60,140,162,23
601,140,194,55
612,140,169,30
615,140,169,30
619,140,166,27
622,140,171,32
627,140,175,36
63,140,161,22
630,140,182,43
634,140,176,37
637,140,181,42
645,140,154,15
653,140,165,26
658,140,184,45
665,140,173,34
668,140,178,39
674,140,176,37
681,140,162,23
689,140,182,43
699,140,169,30
7,140,166,27
70,140,167,28
73,140,167,28
77,140,153,14
80,140,165,26
85,140,164,25
95,140,157,18
604,143,194,52
605,143,194,52
559,145,194,50
560,145,194,50
562,146,194,49
563,146,194,49
607,146,194,49
608,146,194,49
716,147,194,48
717,147,194,48
709,148,194,47
710,148,194,47
649,152,194,43
650,152,194,43
713,154,194,41
714,154,194,41
78,154,194,41
79,154,194,41
646,155,194,40
647,155,194,40
706,155,194,40
707,155,194,40
142,156,194,39
143,156,194,39
288,156,194,39
289,156,194,39
678,156,194,39
679,156,194,39
96,158,194,37
97,158,194,37
127,159,194,36
128,159,194,36
176,159,194,36
177,159,194,36
348,159,194,36
349,159,194,36
93,159,194,36
94,159,194,36
157,160,194,35
158,160,194,35
160,161,194,34
161,161,194,34
173,161,194,34
174,161,194,34
191,161,194,34
192,161,194,34
400,161,194,34
401,161,194,34
685,161,194,34
686,161,194,34
145,162,194,33
146,162,194,33
153,162,194,33
154,162,194,33
415,162,194,33
416,162,194,33
64,162,194,33
65,162,194,33
109,163,194,32
110,163,194,32
112,163,194,32
113,163,194,32
150,163,194,32
151,163,194,32
18,163,194,32
188,163,194,32
189,163,194,32
19,163,194,32
205,163,194,32
206,163,194,32
208,163,194,32
209,163,194,32
285,163,194,32
286,163,194,32
431,163,194,32
432,163,194,32
463,163,194,32
464,163,194,32
61,163,194,32
62,163,194,32
682,163,194,32
683,163,194,32
281,164,194,31
282,164,194,31
33,164,194,31
34,164,194,31
453,164,194,31
454,164,194,31
49,164,194,31
50,164,194,31
518,164,194,31
519,164,194,31
120,165,194,30
121,165,194,30
124,165,194,30
125,165,194,30
278,165,194,30
279,165,194,30
329,165,194,30
330,165,194,30
460,165,194,30
461,165,194,30
475,165,194,30
476,165,194,30
533,165,194,30
534,165,194,30
86,165,194,30
87,165,194,30
15,166,194,29
16,166,194,29
216,166,194,29
217,166,194,29
273,166,194,29
274,166,194,29
304,166,194,29
305,166,194,29
326,166,194,29
327,166,194,29
336,166,194,29
337,166,194,29
408,166,194,29
409,166,194,29
421,166,194,29
422,166,194,29
471,166,194,29
472,166,194,29
478,166,194,29
479,166,194,29
499,166,194,29
500,166,194,29
502,166,194,29
503,166,194,29
506,166,194,29
507,166,194,29
654,166,194,29
655,166,194,29
81,166,194,29
82,166,194,29
89,166,194,29
90,166,194,29
169,167,194,28
170,167,194,28
263,167,194,28
264,167,194,28
266,167,194,28
267,167,194,28
30,167,194,28
31,167,194,28
333,167,194,28
334,167,194,28
412,167,194,28
413,167,194,28
428,167,194,28
429,167,194,28
456,167,194,28
457,167,194,28
509,167,194,28
510,167,194,28
525,167,194,28
526,167,194,28
620,167,194,28
621,167,194,28
8,167,194,28
9,167,194,28
184,168,194,27
185,168,194,27
213,168,194,27
214,168,194,27
223,168,194,27
224,168,194,27
379,168,194,27
380,168,194,27
393,168,194,27
394,168,194,27
397,168,194,27
398,168,194,27
405,168,194,27
406,168,194,27
569,168,194,27
570,168,194,27
71,168,194,27
72,168,194,27
74,168,194,27
75,168,194,27
11,169,194,26
12,169,194,26
341,169,194,26
342,169,194,26
344,169,194,26
345,169,194,26
351,169,194,26
352,169,194,26
382,169,194,26
383,169,194,26
42,169,194,26
43,169,194,26
439,169,194,26
440,169,194,26
46,169,194,26
47,169,194,26
582,169,194,26
583,169,194,26
23,170,194,25
24,170,194,25
26,170,194,25
27,170,194,25
312,170,194,25
313,170,194,25
436,170,194,25
437,170,194,25
468,170,194,25
469,170,194,25
491,170,194,25
492,170,194,25
521,170,194,25
522,170,194,25
57,170,194,25
572,170,194,25
573,170,194,25
58,170,194,25
613,170,194,25
614,170,194,25
616,170,194,25
617,170,194,25
700,170,194,25
701,170,194,25
117,171,194,24
118,171,194,24
135,171,194,24
136,171,194,24
166,171,194,24
167,171,194,24
247,171,194,24
248,171,194,24
309,171,194,24
310,171,194,24
372,171,194,24
373,171,194,24
375,171,194,24
376,171,194,24
181,172,194,23
182,172,194,23
220,172,194,23
221,172,194,23
294,172,194,23
295,172,194,23
301,172,194,23
302,172,194,23
364,172,194,23
365,172,194,23
367,172,194,23
368,172,194,23
39,172,194,23
40,172,194,23
424,172,194,23
425,172,194,23
623,172,194,23
624,172,194,23
697,172,194,23
698,172,194,23
270,173,194,22
271,173,194,22
138,174,194,21
139,174,194,21
316,174,194,21
317,174,194,21
319,174,194,21
320,174,194,21
390,174,194,21
391,174,194,21
484,174,194,21
485,174,194,21
494,174,194,21
495,174,194,21
666,174,194,21
667,174,194,21
232,175,194,20
233,175,194,20
297,175,194,20
298,175,194,20
487,175,194,20
488,175,194,20
536,175,194,20
537,175,194,20
585,175,194,20
586,175,194,20
105,176,194,19
106,176,194,19
254,176,194,19
255,176,194,19
360,176,194,19
361,176,194,19
576,176,194,19
577,176,194,19
628,176,194,19
629,176,194,19
244,177,194,18
245,177,194,18
251,177,194,18
252,177,194,18
443,177,194,18
444,177,194,18
446,177,194,18
447,177,194,18
635,177,194,18
636,177,194,18
675,177,194,18
676,177,194,18
102,178,194,17
103,178,194,17
54,178,194,17
55,178,194,17
198,179,194,16
199,179,194,16
357,179,194,16
358,179,194,16
545,179,194,16
546,179,194,16
669,179,194,16
670,179,194,16
201,180,194,15
202,180,194,15
229,180,194,15
230,180,194,15
552,181,194,14
553,181,194,14
693,181,194,14
694,181,194,14
594,182,194,13
595,182,194,13
638,182,194,13
639,182,194,13
236,183,194,12
237,183,194,12
599,183,194,12
600,183,194,12
631,183,194,12
632,183,194,12
690,183,194,12
691,183,194,12
659,185,194,10
660,185,194,10
239,186,194,9
240,186,194,9
662,186,194,9
663,186,194,9
548,190,194,5
549,190,194,5
528,192,194,3
529,192,194,3
555,192,194,3
556,192,194,3
