file,name,x,y,z,majorRadius,minorRadius
t120.tif,t120_cell_001,387.064758300781,96.2989807128906,13.4360656738281,20.1755065917969,20.1755065917969
t120.tif,t120_cell_002,337.919921875,103.415023803711,17.7623062133789,19.9794845581055,19.9794845581055
t120.tif,t120_cell_003,433.438293457031,107.224273681641,21.4008274078369,24.5065746307373,24.5065746307373
t120.tif,t120_cell_004,432.456359863281,110.940208435059,14.9528913497925,19.3214244842529,19.3214244842529
t120.tif,t120_cell_005,288.491577148438,111.06697845459,18.91845703125,19.1580677032471,19.1580677032471
t120.tif,t120_cell_006,378.280212402344,112.52653503418,17.9257659912109,20.1149349212646,20.1149349212646
t120.tif,t120_cell_007,494.078735351562,117.646690368652,17.1148700714111,24.7271194458008,24.7271194458008
t120.tif,t120_cell_008,334.947265625,125.068756103516,12.5963087081909,18,18
t120.tif,t120_cell_009,225.805618286133,126.001609802246,17.0495414733887,22.1493282318115,22.1493282318115
t120.tif,t120_cell_010,261.345703125,130.145141601562,11.2953720092773,18.1308841705322,17.9549751281738
t120.tif,t120_cell_011,461.026123046875,133.062805175781,10.3628740310669,18,18
t120.tif,t120_cell_012,402.576873779297,136.433654785156,8.51030158996582,18.3715000152588,18.3715000152588
t120.tif,t120_cell_013,508.068359375,137.301605224609,23.3065452575684,21.075138092041,21.075138092041
t120.tif,t120_cell_014,365.998352050781,143.017547607422,24.0769443511963,21.8403987884521,21.8403987884521
t120.tif,t120_cell_015,283.721252441406,145.196914672852,24.8568725585938,25.2016372680664,25.2016372680664
t120.tif,t120_cell_016,324.879058837891,146.645095825195,19.9737339019775,18,18
t120.tif,t120_cell_017,415.229614257812,151.141937255859,24.9697780609131,18.8484039306641,18.8484039306641
t120.tif,t120_cell_018,516.082458496094,152.89714050293,11.2408647537231,19.7546119689941,19.7546119689941
t120.tif,t120_cell_019,554.031372070312,158.98583984375,20.2567901611328,20.7064895629883,20.7064895629883
t120.tif,t120_cell_020,215.18962097168,163.538330078125,22.3213329315186,19.2435111999512,19.2435111999512
t120.tif,t120_cell_021,281.375549316406,164.502563476562,19.5908699035645,18.5208168029785,18.5208168029785
t120.tif,t120_cell_022,460.554534912109,164.597839355469,25.1081581115723,19.9292373657227,19.9292373657227
t120.tif,t120_cell_023,156.81526184082,166.947326660156,16.7830791473389,22.6336441040039,22.6336441040039
t120.tif,t120_cell_024,555.870361328125,168.187713623047,15.8884029388428,23.4520950317383,23.4520950317383
t120.tif,t120_cell_025,310.381469726562,172.353744506836,9.38599109649658,23.8881092071533,23.8881092071533
t120.tif,t120_cell_026,254.618591308594,175.698669433594,8.89867973327637,18.369213104248,18.369213104248
t120.tif,t120_cell_027,481.942687988281,177.675170898438,7.21149396896362,20.6638488769531,19.3961582183838
t120.tif,t120_cell_028,361.529174804688,177.818664550781,18.2808208465576,22.8467998504639,22.8467998504639
t120.tif,t120_cell_029,486.523681640625,178.0087890625,20.6061573028564,22.8979015350342,22.8979015350342
t120.tif,t120_cell_030,229.609558105469,181.49299621582,15.3491659164429,19.2967071533203,19.2967071533203
t120.tif,t120_cell_031,219.521636962891,182.626373291016,9.30090618133545,18.9578418731689,18.9578418731689
t120.tif,t120_cell_032,400.208343505859,186.350799560547,21.1333885192871,21.5018348693848,21.5018348693848
t120.tif,t120_cell_033,190.512145996094,186.674896240234,14.232795715332,18.2938804626465,18.2938804626465
t120.tif,t120_cell_034,443.699829101562,188.265899658203,15.5160694122314,20.8287181854248,20.5358371734619
t120.tif,t120_cell_035,381.56201171875,193.092132568359,9.42912101745605,23.2145195007324,22.2334289550781
t120.tif,t120_cell_036,252.541244506836,193.12158203125,25.2351970672607,19.4108123779297,19.4108123779297
t120.tif,t120_cell_037,167.236724853516,196.760452270508,21.9355411529541,21.3319931030273,21.3319931030273
t120.tif,t120_cell_038,304.653991699219,197.448211669922,17.3783016204834,21.493745803833,21.493745803833
t120.tif,t120_cell_039,552.853271484375,200.466217041016,23.7642612457275,20.553991317749,20.553991317749
t120.tif,t120_cell_040,445.435913085938,202.265914916992,10.4147291183472,23.9854717254639,23.9854717254639
t120.tif,t120_cell_041,306.334777832031,202.914413452148,24.4217338562012,20.0221843719482,20.0221843719482
t120.tif,t120_cell_042,396.576171875,203.240692138672,15.0053339004517,20.4147167205811,20.4147167205811
t120.tif,t120_cell_043,596.8056640625,207.010665893555,19.7544898986816,20.7196941375732,20.7196941375732
t120.tif,t120_cell_044,548.4560546875,207.861328125,9.36011219024658,21.2938861846924,21.2938861846924
t120.tif,t120_cell_045,210.491485595703,208.363128662109,25.7678737640381,22.8102111816406,22.8102111816406
t120.tif,t120_cell_046,226.868743896484,210.445220947266,19.6217861175537,24.500072479248,24.500072479248
t120.tif,t120_cell_047,164.810195922852,213.002059936523,11.9179840087891,18,18
t120.tif,t120_cell_048,434.086608886719,222.918395996094,21.4856967926025,19.6639251708984,19.6639251708984
t120.tif,t120_cell_049,139.136154174805,223.285537719727,10.5016708374023,18,17.6055469512939
t120.tif,t120_cell_050,508.678833007812,225.889633178711,14.5337629318237,19.9329700469971,19.9329700469971
t120.tif,t120_cell_051,290.936828613281,228.549133300781,13.6423263549805,18.1551628112793,18.1551628112793
t120.tif,t120_cell_052,247.259094238281,228.914123535156,13.8109045028687,18.1841907501221,18.1841907501221
t120.tif,t120_cell_053,190.991149902344,229.476379394531,7.3215479850769,21.5889568328857,21.5889568328857
t120.tif,t120_cell_054,357.162048339844,230.27522277832,25.0224494934082,19.7543048858643,19.7543048858643
t120.tif,t120_cell_055,130.147308349609,230.454849243164,19.7219543457031,21.0667743682861,21.0667743682861
t120.tif,t120_cell_056,502.519287109375,231.346038818359,23.7297458648682,18,14
t120.tif,t120_cell_057,338.723876953125,237.527938842773,15.1397638320923,19.4852104187012,19.4852104187012
t120.tif,t120_cell_058,435.584289550781,240.5283203125,25.6910877227783,20.6055316925049,20.6055316925049
t120.tif,t120_cell_059,201.258697509766,241.498489379883,12.6551294326782,20.1937007904053,20.1937007904053
t120.tif,t120_cell_060,329.931396484375,241.73388671875,9.32340335845947,19.3067493438721,19.3067493438721
t120.tif,t120_cell_061,271.567321777344,243.965744018555,8.01088047027588,19.3577766418457,19.3577766418457
t120.tif,t120_cell_062,307.680053710938,244.624328613281,20.2333507537842,21.1491203308105,21.1491203308105
t120.tif,t120_cell_063,571.890991210938,245.769271850586,10.4553537368774,21.4929008483887,21.4929008483887
t120.tif,t120_cell_064,567.455444335938,247.790985107422,16.4451923370361,22.9976444244385,22.9976444244385
t120.tif,t120_cell_065,157.334197998047,250.364624023438,23.6680393218994,20.9366397857666,20.9366397857666
t120.tif,t120_cell_066,117.139518737793,257.426422119141,14.0148515701294,22.3707618713379,22.3707618713379
t120.tif,t120_cell_067,292.556335449219,257.749847412109,24.6422119140625,19.8286552429199,19.8286552429199
t120.tif,t120_cell_068,235.339630126953,264.015655517578,25.1667423248291,20.2745399475098,20.2745399475098
t120.tif,t120_cell_069,195.951156616211,264.957397460938,24.4019317626953,19.9671325683594,19.9671325683594
t120.tif,t120_cell_070,461.589904785156,266.256317138672,21.5726585388184,18,15.631196975708
t120.tif,t120_cell_071,193.394012451172,273.463287353516,17.9420433044434,24.5759544372559,24.5759544372559
t120.tif,t120_cell_072,417.752380371094,273.89501953125,10.4311046600342,22.0733680725098,22.0733680725098
t120.tif,t120_cell_073,469.580932617188,276.914428710938,7.89127588272095,19.6856861114502,19.6856861114502
t120.tif,t120_cell_074,552.49853515625,277.370880126953,23.3341503143311,18.2025566101074,18.2025566101074
t120.tif,t120_cell_075,258.292755126953,278.877593994141,18.7416191101074,22.2955760955811,22.2955760955811
t120.tif,t120_cell_076,135.204849243164,279.590087890625,19.0366840362549,21.6041984558105,21.6041984558105
t120.tif,t120_cell_077,218.765380859375,287.326965332031,9.89233875274658,21.0025386810303,21.0025386810303
t120.tif,t120_cell_078,358.2177734375,287.736328125,7.89466762542725,21.2729187011719,21.2729187011719
t120.tif,t120_cell_079,166.378875732422,288.270385742188,9.28996181488037,21.6770687103271,21.6770687103271
t120.tif,t120_cell_080,446.819213867188,294.30029296875,16.0033168792725,22.5916156768799,22.5916156768799
t120.tif,t120_cell_081,322.520812988281,296.692443847656,14.4740905761719,22.5409774780273,22.1145000457764
t120.tif,t120_cell_082,407.994140625,298.874969482422,22.3026065826416,19.1993923187256,19.1993923187256
t120.tif,t120_cell_083,288.273559570312,299.9091796875,10.1861782073975,20.5124740600586,20.5124740600586
t120.tif,t120_cell_084,609.583862304688,300.998992919922,15.3697032928467,21.8697872161865,21.8697872161865
t120.tif,t120_cell_085,398.858001708984,304.587646484375,16.3973388671875,21.6075325012207,21.6075325012207
t120.tif,t120_cell_086,523.265991210938,314.758575439453,10.1141967773438,22.0423698425293,22.0423698425293
t120.tif,t120_cell_087,494.556762695312,315.81005859375,16.3434219360352,22.1464920043945,22.1464920043945
t120.tif,t120_cell_088,140.559753417969,319.519744873047,14.297384262085,21.9848651885986,21.9848651885986
t120.tif,t120_cell_089,153.339691162109,320.552307128906,20.5729541778564,19.3106899261475,19.3106899261475
t120.tif,t120_cell_090,550.504699707031,322.159606933594,8.38204669952393,18.1857070922852,18.1857070922852
t120.tif,t120_cell_091,178.547607421875,324.444946289062,23.5468463897705,19.7430381774902,19.7430381774902
t120.tif,t120_cell_092,520.316772460938,324.753021240234,23.2815208435059,18,18
t120.tif,t120_cell_093,262.116943359375,324.808044433594,24.3118438720703,21.1717090606689,21.1717090606689
t120.tif,t120_cell_094,556.11767578125,325.860656738281,17.5921020507812,20.2404232025146,19.978536605835
t120.tif,t120_cell_095,391.089569091797,330.245788574219,25.6848545074463,21.7204685211182,21.541955947876
t120.tif,t120_cell_096,276.950012207031,330.880279541016,18.8040885925293,24.2859573364258,22.3148097991943
t120.tif,t120_cell_097,193.552703857422,331.335723876953,8.3454647064209,19.2553367614746,19.2553367614746
t120.tif,t120_cell_098,246.126358032227,331.850921630859,8.07854461669922,18,16.3078861236572
t120.tif,t120_cell_099,214.180053710938,332.101867675781,25.9085426330566,20.6214771270752,20.6214771270752
t120.tif,t120_cell_100,565.768371582031,332.515838623047,13.9084339141846,20.5347366333008,20.5347366333008
t120.tif,t120_cell_101,200.396865844727,332.524536132812,16.986291885376,21.6838264465332,21.6838264465332
t120.tif,t120_cell_102,316.683227539062,338.210266113281,24.5600242614746,20.5520401000977,20.5520401000977
t120.tif,t120_cell_103,460.379974365234,342.606750488281,23.9139137268066,18.2906455993652,18.2906455993652
t120.tif,t120_cell_104,366.069946289062,343.126098632812,7.7181396484375,20.8309841156006,20.8309841156006
t120.tif,t120_cell_105,374.927795410156,343.479248046875,21.4227561950684,21.4027614593506,21.4027614593506
t120.tif,t120_cell_106,426.900390625,344.466674804688,8.64131832122803,18,16.4866504669189
t120.tif,t120_cell_107,334.690185546875,344.486022949219,18.2741641998291,20.3179988861084,20.3179988861084
t120.tif,t120_cell_108,290.230773925781,350.75439453125,14.0471248626709,21.5951309204102,21.5951309204102
t120.tif,t120_cell_109,421.325927734375,352.81494140625,18.0727043151855,20.5408496856689,20.5408496856689
t120.tif,t120_cell_110,209.596618652344,358.766174316406,13.0290985107422,21.8174343109131,21.8174343109131
t120.tif,t120_cell_111,240.286224365234,365.383483886719,21.8197631835938,23.0594139099121,23.0594139099121
t120.tif,t120_cell_112,336.304504394531,368.702087402344,10.3573846817017,21.0667743682861,21.0667743682861
t120.tif,t120_cell_113,547.45556640625,376.035217285156,20.6734180450439,23.4020767211914,23.4020767211914
t120.tif,t120_cell_114,178.149169921875,376.281372070312,20.2987842559814,24.1370372772217,24.1370372772217
t120.tif,t120_cell_115,508.245849609375,380.640380859375,14.6398782730103,20.0663299560547,20.0663299560547
t120.tif,t120_cell_116,249.100738525391,383.696716308594,9.16405200958252,19.8336124420166,19.8336124420166
t120.tif,t120_cell_117,386.004028320312,383.783264160156,11.7813262939453,22.3969821929932,22.3969821929932
t120.tif,t120_cell_118,433.616516113281,385.973205566406,23.2419776916504,20.2177867889404,20.2177867889404
t120.tif,t120_cell_119,301.450073242188,395.672485351562,9.40788745880127,18,18
t120.tif,t120_cell_120,378.433532714844,397.667236328125,23.127498626709,20.3975887298584,20.3975887298584
t120.tif,t120_cell_121,450.880676269531,399.352325439453,11.7494678497314,23.8436794281006,23.8436794281006
t120.tif,t120_cell_122,307.911804199219,400.719665527344,21.2158832550049,20.2746047973633,20.2746047973633
t120.tif,t120_cell_123,334.883026123047,401.410339355469,22.6340675354004,20.7849922180176,20.7849922180176
t120.tif,t120_cell_124,233.152725219727,403.932281494141,16.9057655334473,21.7565002441406,21.7565002441406
t120.tif,t120_cell_125,489.418273925781,405.961181640625,22.2775974273682,21.4742240905762,21.4742240905762
t120.tif,t120_cell_126,416.728271484375,407.047760009766,15.9938402175903,20.2360935211182,20.2360935211182
t120.tif,t120_cell_127,295.1689453125,415.080535888672,16.0499629974365,20.1028881072998,20.1028881072998
t120.tif,t120_cell_128,454.728729248047,421.526794433594,18.6449012756348,19.7277565002441,19.7277565002441
t120.tif,t120_cell_129,358.305328369141,424.419036865234,16.9692516326904,24.0057163238525,24.0057163238525
